50, 293
ADDIS ABABA, 8.861025335639155, 39.50537516887898
ALGIERS, 28.071329408686463, 2.1631285657479906
ALMATY, 48.24279848921162, 67.79327793954229
AMMAN, 31.300644889231375, 36.795302600219095
ANKARA, 39.001436189345334, 35.56019743456814
ANTANANARIVO, -20.980895548102055, 46.162390749439716
BAGHDAD, 33.084923954772904, 42.934371089972885
BAMAKO, 17.788257508917084, -1.8012479227406835
BEIJING, 35.06312309028558, 102.8980057399565
BRASÍLIA, -7.833409450284335, -56.39221015402433
BUENOS AIRES, -34.62992603781776, -65.85159172404963
CAIRO, 26.65832892926017, 29.791223934273443
CANBERRA, -25.159442990175073, 134.25447073657324
DAMASCUS, 34.834806201676265, 38.13243805043771
HELSINKI, 62.08645544753247, 26.460181134115263
ISLAMABAD, 30.125540024993924, 69.0494124473398
JAKARTA, -4.337974871005969, 121.93055225219959
JERUSALEM, 31.769158121457508, 35.22068020617379
KHARTOUM, 16.41547853425355, 30.18205452662457
KUALA LUMPUR, 3.755265591402299, 101.85695829737278
KYIV, 49.003691778292996, 31.337897345112804
LIMA, -10.51602067874422, -75.54973833922863
LISBON, 39.65369433229986, -8.767538745795122
LONDON, 55.10796585105442, -2.7668063935941536
MADRID, 39.564937110430066, -3.0014083554914928
MOGADISHU, 2.7982229415926887, 44.82701176775603
MOSCOW, 62.5156275437797, 92.96150614787261
MUSCAT, 20.668775208072233, 56.14452782431262
NEW DELHI, 23.192133381995617, 80.32989958696272
NIAMEY, 17.46219460298736, 9.216352519377004
NOUAKCHOTT, 20.42506866527749, -10.365138335501841
NUUK, 66.29769098551492, -46.10776053878598
OSLO, 61.61285751413713, 9.301932051774862
OTTAWA, 57.70229070007992, -101.80221873516481
PARIS, 46.51600125368959, 2.2730650564229933
PRETORIA, -30.594259122777224, 24.18624211242921
RABAT, 31.60032937351167, -6.515996951913963
REYKJAVIK, 65.02963502268696, -18.54626523448756
RIYADH, 23.634228855814285, 45.44673964936339
ROME, 42.99801342093092, 12.079921835285777
SANA'A, 15.903542097524346, 47.62190124653392
SANTIAGO, -26.802128022565597, -70.71712427326355
SEOUL, 36.4901943149473, 127.70004797612307
STOCKHOLM, 64.57420236897424, 16.91787622422318
TEHRAN, 32.08549851458258, 54.258814806794184
TOKYO, 37.015116095758046, 138.58985069935744
TRIPOLI, 26.90316312901154, 17.39099324693043
TUNIS, 34.068144192908335, 9.92306238210101
ULAANBAATAR, 46.753994128556045, 103.05473710522885
WASHINGTON, 39.94400297447158, -80.74848019129375
LIMA, BUENOS AIRES, 300, 265
LIMA, SANTIAGO, 150, 215
LIMA, BRASÍLIA, 350, 270
LIMA, MADRID, 1100, 700
LIMA, PARIS, 1300, 745
BUENOS AIRES, SANTIAGO, 200, 120
BUENOS AIRES, BRASÍLIA, 300, 180
BUENOS AIRES, OSLO, 600, 900
SANTIAGO, BRASÍLIA, 350, 240
SANTIAGO, MADRID, 900, 720
BRASÍLIA, OSLO, 1000, 840
OSLO, STOCKHOLM, 150, 60
OSLO, WASHINGTON, 800, 480
OSLO, ALGIERS, 550, 240
STOCKHOLM, MADRID, 400, 240
STOCKHOLM, KUALA LUMPUR, 900, 720
MADRID, LISBON, 150, 75
MADRID, CAIRO, 400, 270
LISBON, CAIRO, 600, 300
CAIRO, TEHRAN, 300, 180
WASHINGTON, MOSCOW, 900, 540
MOSCOW, BAGHDAD, 500, 240
BAGHDAD, ALGIERS, 600, 300
ALGIERS, BEIJING, 900, 660
BEIJING, TEHRAN, 600, 420
TEHRAN, ISLAMABAD, 300, 120
KYIV, ANKARA, 200, 120
ANKARA, HELSINKI, 200, 180
HELSINKI, JAKARTA, 1300, 900
JAKARTA, KUALA LUMPUR, 120, 125
KUALA LUMPUR, ADDIS ABABA, 1100, 600
ADDIS ABABA, TRIPOLI, 500, 360
TRIPOLI, SEOUL, 1300, 840
SEOUL, TOKYO, 200, 120
TOKYO, ULAANBAATAR, 500, 270
ULAANBAATAR, ROME, 900, 630
ROME, LONDON, 200, 150
LONDON, NUUK, 700, 360
NUUK, NEW DELHI, 1200, 840
NEW DELHI, ALMATY, 400, 210
ALMATY, RIYADH, 600, 270
RIYADH, ISLAMABAD, 300, 180
ISLAMABAD, NIAMEY, 800, 540
NIAMEY, KHARTOUM, 400, 210
KHARTOUM, BAMAKO, 500, 300
BAMAKO, NOUAKCHOTT, 300, 180
NOUAKCHOTT, JERUSALEM, 800, 420
JERUSALEM, AMMAN, 150, 30
AMMAN, MUSCAT, 400, 210
MUSCAT, OTTAWA, 1400, 900
OTTAWA, PARIS, 800, 420
PARIS, RABAT, 200, 150
RABAT, DAMASCUS, 600, 360
DAMASCUS, TUNIS, 300, 150
TUNIS, MOGADISHU, 900, 450
MOGADISHU, CANBERRA, 1800, 1080
CANBERRA, REYKJAVIK, 1600, 1200
REYKJAVIK, PRETORIA, 1500, 1080
PRETORIA, ANTANANARIVO, 400, 240
ANTANANARIVO, LIMA, 1500, 700
LIMA, NEW DELHI, 1100, 1440
